division_number,date_reported,date_occurred,area,area_name,reporting_district,part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude
201510968,07/06/2020,06/06/2020 13:00,15,N Hollywood,1549,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,443,38,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AA,Adult Arrest,930,,,,5500    CASE                         AV,,34.17,-118.3719
202005607,03/02/2020,01/02/2020 14:00,20,Olympic,2027,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0445 0553 1251 1258 0913,6,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",301,BELT FLAILING INSTRUMENT/CHAIN,AO,Adult Other,627,,,,500 S  MARIPOSA                     AV,,34.0642,-118.2992
201917631,02/12/2020,02/12/2020 14:25,19,Mission,1954,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,22,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,10300 N  SEPULVEDA                    BL,,34.2573,-118.4673
201607139,15/03/2020,14/03/2020 23:00,16,Foothill,1641,1,330,BURGLARY FROM VEHICLE,0344 1307,22,F,H,101,STREET,,,IC,Invest Cont,330,,,,HADDON,GARBER,34.2545,-118.4217
201407595,03/03/2020,28/02/2020 6:30,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,72,F,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,300    WORLD                        WY,,33.944,-118.4073
202114114,24/09/2020,24/09/2020 11:00,21,Topanga,2146,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1814 2000 0416 1310 0913,18,M,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,236,,,,7100    MILWOOD                      AV,,34.1992,-118.5943
201604259,07/01/2020,05/01/2020 15:20,16,Foothill,1684,1,350,"THEFT, PERSON",1202 0344,66,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,350,,,,7800    LANKERSHIM                   BL,,34.2166,-118.3919
202010688,08/06/2020,08/06/2020 10:00,20,Olympic,2002,2,850,INDECENT EXPOSURE,1822 0528 0432 1309 0369,31,F,O,102,SIDEWALK,,,IC,Invest Cont,850,,,,N  WILTON                       PL,MELROSE,34.0835,-118.3135
200101123,20/11/2020,20/11/2020 1:15,1,Central,138,1,330,BURGLARY FROM VEHICLE,2004 1822 1414 0319 1403 1402 0344 1307 0329,0,M,X,101,STREET,,,AO,Adult Other,330,998,,,200 S  SAN PEDRO                    ST,,34.0487,-118.242
201612537,02/09/2020,01/09/2020 11:00,16,Foothill,1698,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1402 1822,49,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,930,998,,,7500 N  SAN FERNANDO                 RD,,34.2081,-118.3528
201517510,13/11/2020,23/10/2020 20:00,15,N Hollywood,1555,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,36,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,11200    HUSTON                       ST,,34.1599,-118.3758
202110745,21/06/2020,20/06/2020 9:30,21,Topanga,2102,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 0344 1606,65,M,H,104,DRIVEWAY,,,IC,Invest Cont,420,,,,8700    AZUL                         DR,,34.229,-118.6489
201511982,30/06/2020,29/06/2020 8:30,15,N Hollywood,1538,2,237,CHILD NEGLECT (SEE 300 W.I.C.),,6,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,237,,,,11200    CALIFA                       ST,,34.1776,-118.3747
202012957,03/08/2020,02/08/2020 14:00,20,Olympic,2033,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,3500 W  7TH                          ST,,34.0597,-118.3075
201708385,21/04/2020,20/04/2020 23:00,17,Devonshire,1787,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0386 0344 1606,40,M,A,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,17700    LASSEN                       ST,,34.2504,-118.5199
201406353,09/02/2020,08/02/2020 22:30,14,Pacific,1403,1,330,BURGLARY FROM VEHICLE,1300 0321 0344,51,M,H,101,STREET,,,IC,Invest Cont,330,,,,BENTLEY                      AV,NATIONAL                     BL,34.0282,-118.4275
201711623,27/07/2020,27/07/2020 12:00,17,Devonshire,1723,2,888,TRESPASSING,1202 1501 0913 0603 0361,67,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,888,,,,10700    INDEPENDENCE                 AV,,34.2645,-118.5907
202014013,29/08/2020,29/08/2020 12:00,20,Olympic,2027,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432 0319 1822 0443,36,F,H,702,OFFICE BUILDING/OFFICE,511,VERBAL THREAT,AO,Adult Other,930,,,,3400    WILSHIRE                     BL,,34.0636,-118.296
200213875,14/08/2020,25/07/2020 9:15,2,Rampart,249,1,310,BURGLARY,1822 0344 0321 1601,0,X,X,203,OTHER BUSINESS,,,AO,Adult Other,310,,,,1100    WILSHIRE                     BL,,34.0523,-118.2633
200121824,02/12/2020,02/12/2020 12:50,1,Central,164,2,946,OTHER MISCELLANEOUS CRIME,1402,0,X,X,101,STREET,,,AA,Adult Arrest,946,,,,6TH                          ST,MAIN                         ST,34.0453,-118.2499
201204249,04/01/2020,04/01/2020 11:05,12,77th Street,1231,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0400 0416 0448 0429 1814 2000 0913,24,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,440,626,,,4100 W  59TH                         ST,,33.9871,-118.3475
201809408,09/04/2020,08/04/2020 10:30,18,Southeast,1821,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,54,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,500 W  COLDEN                       AV,,33.9492,-118.2827
201413560,10/07/2020,10/07/2020 7:15,14,Pacific,1402,1,210,ROBBERY,0945 1822 0325 1236 1420 1414 0400,0,X,X,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,11300    NATIONAL                     BL,,34.0276,-118.437
201610803,06/07/2020,03/07/2020 18:00,16,Foothill,1659,1,310,BURGLARY,1202 0344,70,M,O,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,6400    FOOTHILL                     BL,,34.2519,-118.2713
202010571,05/06/2020,05/06/2020 14:00,20,Olympic,2035,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0345 2004 1218,29,F,H,101,STREET,,,IC,Invest Cont,440,,,,8TH                          ST,CATALINA,34.0577,-118.2954
201610971,12/07/2020,12/07/2020 1:40,16,Foothill,1687,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10800    WHITE                        ST,,34.2173,-118.3672
201404968,17/01/2020,17/01/2020 9:15,14,Pacific,1425,2,624,BATTERY - SIMPLE ASSAULT,400,76,M,W,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,11400    WOODBINE                     ST,,34.0183,-118.4289
201610589,30/06/2020,19/06/2020 22:00,16,Foothill,1606,1,121,"RAPE, FORCIBLE",0522 0527 0515 0537 0913 1259,16,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,121,,,,11500    HELA                         AV,,34.2789,-118.387
211105657,18/02/2021,01/11/2020 12:00,11,Northeast,1133,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,3000    PERLITA                      AV,,34.1114,-118.2495
201504507,12/01/2020,11/01/2020 11:00,15,N Hollywood,1538,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,5600    FAIR                         AV,,34.1722,-118.3746
201316556,05/09/2020,05/09/2020 16:30,13,Newton,1322,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,42,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,600 E  ADAMS                        BL,,34.0223,-118.2629
201414576,27/07/2020,03/07/2020 20:00,14,Pacific,1428,2,354,THEFT OF IDENTITY,1501,0,X,X,101,STREET,,,IC,Invest Cont,354,,,,3300    OVERLAND                     AV,,34.0265,-118.4184
200114067,28/06/2020,28/06/2020 18:00,1,Central,182,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1408 0344 2000 1813 0444 0448 0408 0401 0334,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,1200 S  GRAND                        AV,,34.0397,-118.2637
201516075,07/10/2020,07/10/2020 12:05,15,N Hollywood,1506,1,310,BURGLARY,1601 1606 1420,0,M,O,217,AUTO REPAIR SHOP,,,AO,Adult Other,310,,,,7200    VINELAND                     AV,,34.2027,-118.3745
201318202,10/10/2020,09/10/2020 22:30,13,Newton,1322,2,624,BATTERY - SIMPLE ASSAULT,416,42,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,22ND                         ST,WALL                         ST,34.0268,-118.2619
200415904,13/12/2020,13/12/2020 1:00,4,Hollenbeck,449,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0913 0329,81,F,H,504,OTHER RESIDENCE,,,AA,Adult Arrest,745,,,,2600    POMEROY                      AV,,34.0534,-118.1992
201213136,19/05/2020,17/05/2020 13:00,12,77th Street,1207,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 W  50TH                         PL,,33.997,-118.2871
201513190,26/07/2020,26/07/2020 3:00,15,N Hollywood,1525,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0446,22,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,11800    KITTRIDGE                    ST,,34.1903,-118.3911
201804667,13/01/2020,13/01/2020 21:20,18,Southeast,1826,1,350,"THEFT, PERSON",1822 0344 0400 0216 2050 0910,23,M,H,937,MTA - BLUE LINE - 103RD/WATTS TOWERS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,,,,10100    GRANDEE                      AV,,33.944,-118.2435
201115740,14/11/2020,14/11/2020 3:00,11,Northeast,1181,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0448 0416 1814,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,2800    RESERVOIR                    ST,,34.0824,-118.2704
201821155,26/11/2020,26/11/2020 1:10,18,Southeast,1802,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1100 0430 1300 1402 1407,37,M,B,501,SINGLE FAMILY DWELLING,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,998,,,300 W  91ST                         ST,,33.9543,-118.2788
202008960,24/04/2020,24/04/2020 21:25,20,Olympic,2062,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1821 0329 1241 2000,27,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,745,,,,1000 S  WESTERN                      AV,,34.0506,-118.3127
201417526,20/09/2020,09/09/2020 17:30,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,53,F,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,200    WORLD                        WY,,33.9452,-118.4033
201505572,01/02/2020,01/02/2020 20:00,15,N Hollywood,1585,2,624,BATTERY - SIMPLE ASSAULT,2004 0416 0429,22,M,O,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,11000    VENTURA                      BL,,34.143,-118.3727
